ml_id,ml_year,ml_title,id,title,year
3615,2000,Dinosaur,81492,Dinosaur,2000
8929,1971,Black Beauty,81530,Black Beauty,1971
1377,1992,Batman Returns,81563,Batman Returns,1992
97923,2012,Flight,81568,Flight,2012
2065,1985,The Purple Rose of Cairo,81617,The Purple Rose of Cairo,1985
117446,2014,Expelled from Paradise,81625,Expelled from Paradise,-1
7444,2004,13 Going on 30,81660,13 Going on 30,2004
85022,2011,Hall Pass,81702,Hall Pass,-1
5380,2002,The Importance of Being Earnest,81715,The Importance of Being Earnest,2002
152081,2016,Zootopia,81792,Zootopia,-1
105593,2013,Filth,81805,Filth,2013
122774,2008,Monster,81819,Monster,2008
1254,1948,The Treasure of the Sierra Madre,81865,The Treasure of the Sierra Madre,1948
133093,1970,A Quiet Place to Kill,81878,A Quiet Place to Kill,1970
2098,1963,Son of Flubber,81916,Son of Flubber,1963
144698,2015,Miss You Already,81919,Miss You Already,2015
49651,2006,Rocky Balboa,81968,Rocky Balboa,2006
188,1995,The Prophecy,82001,The Prophecy,1995
78679,2010,The Killer Inside Me,82020,The Killer Inside Me,2010
124544,2001,Perfume,82022,Perfume,2001
95873,2012,Ruby Sparks,82029,Ruby Sparks,2012
2400,1989,Prancer,82041,Prancer,1989
161288,2016,Cyborg X,82075,Cyborg X,-1
127441,2014,Last Days in Vietnam,82087,Last Days in Vietnam,2014
8033,1966,How to Steal a Million,82145,How to Steal a Million,1966
8464,2004,Super Size Me,82153,Super Size Me,2004
5500,1984,Top Secret!,82233,Top Secret!,1984
350,1994,The Client,82284,The Client,1994
913,1941,The Maltese Falcon,82321,The Maltese Falcon,1941
3576,1987,The Hidden,82380,The Hidden,1987
4007,1987,Wall Street,82417,Wall Street,1987
1953,1971,The French Connection,82419,The French Connection,1971
3724,1978,Coming Home,82421,Coming Home,1978
110828,2013,Devil's Knot,82430,Devil's Knot,2013
2097,1983,Something Wicked This Way Comes,82446,Something Wicked This Way Comes,1983
283,1995,New Jersey Drive,82467,New Jersey Drive,1995
67186,2009,The Haunting in Connecticut,82473,The Haunting in Connecticut,2009
337,1993,What's Eating Gilbert Grape,82476,What's Eating Gilbert Grape,1993
90645,2011,Anonymous,82536,Anonymous,2011
80939,2010,Conviction,82537,Conviction,2010
142509,2015,Hardcore Henry,82567,Hardcore Henry,2015
599,1969,The Wild Bunch,82569,The Wild Bunch,1969
2389,1998,Psycho,82596,Psycho,1998
2005,1985,The Goonies,82602,The Goonies,1985
45732,2006,My Super Ex-Girlfriend,82631,My Super Ex-Girlfriend,-1
112171,2014,The Equalizer,82641,The Equalizer,2014
97134,1999,Waco: A New Revelation,82650,Waco: A New Revelation,1999
37853,2005,Into the Blue,82657,Into the Blue,2005
3157,1999,Stuart Little,82756,Stuart Little,1999
61248,2008,Death Race,82763,Death Race,2008
184015,2018,When We First Met,82775,When We First Met,-1
152057,2016,Miles Ahead,82830,Miles Ahead,2015
6093,1982,The Last Unicorn,82857,The Last Unicorn,1982
173519,2006,Cannibal,82858,Cannibal,2006
6731,1985,Day of the Dead,82871,Day of the Dead,1985
78174,2010,Sex and the City 2,82876,Sex and the City 2,2010
47493,1943,Cabin in the Sky,82893,Cabin in the Sky,1943
106696,2013,Frozen,82894,Frozen,2013
135887,2015,Minions,82923,Minions,2015
146900,2015,Heist,82955,Heist,2015
127204,2015,The Overnight,82990,The Overnight,2015
86295,2011,Scream 4,83057,Scream 4,2011
169992,2017,Free Fire,83101,Free Fire,2016
155064,2016,The Neon Demon,83105,The Neon Demon,2016
67892,1960,Can-Can,83116,Can-Can,1960
88932,2011,Final Destination 5,83132,Final Destination 5,2011
33092,2001,Acts of Worship,83180,Acts of Worship,2001
3798,2000,What Lies Beneath,83192,What Lies Beneath,2000
361,1994,It Could Happen to You,83274,It Could Happen to You,1994
27251,2000,The 10th Kingdom,83343,The 10th Kingdom,-1
1162,1972,The Ruling Class,83370,The Ruling Class,1972
2096,1959,Sleeping Beauty,83388,Sleeping Beauty,1959
56848,1991,Ricochet,83389,Ricochet,1991
5867,1981,Thief,83396,Thief,1981
160565,2016,The Purge: Election Year,83406,The Purge: Election Year,2016
3264,1992,Buffy the Vampire Slayer,83430,Buffy the Vampire Slayer,1992
90345,2011,The Thing,83436,The Thing,2011
43177,1979,Over the Edge,83489,Over the Edge,1979
26614,1988,The Bourne Identity,83539,The Bourne Identity,1988
122735,1971,Night of Dark Shadows,83570,Night of Dark Shadows,1971
1327,1979,The Amityville Horror,83586,The Amityville Horror,1979
121155,2013,Kevin Hart: Let Me Explain,83617,Kevin Hart: Let Me Explain,2013
3388,1987,Harry and the Hendersons,83624,Harry and the Hendersons,1987
170401,2017,Table 19,83655,Table 19,2017
170833,1998,The New Swiss Family Robinson,83675,The New Swiss Family Robinson,1998
1078,1971,Bananas,83716,Bananas,1971
155444,1974,Five Shaolin Masters,83749,Five Shaolin Masters,1974
62,1995,Mr. Holland's Opus,83757,Mr. Holland's Opus,1995
628,1996,Primal Fear,83766,Primal Fear,1996
7380,2004,Ella Enchanted,83789,Ella Enchanted,2004
103306,2013,Europa Report,83790,Europa Report,2013
82459,2010,True Grit,83814,True Grit,2010
27808,2004,Spanglish,83853,Spanglish,2004
99468,2012,The Central Park Five,83905,The Central Park Five,2012
60074,2008,Hancock,83948,Hancock,2008
4327,1960,The Magnificent Seven,83976,The Magnificent Seven,1960
4878,2001,Donnie Darko,84001,Donnie Darko,2001
81562,2010,127 Hours,84003,127 Hours,2010
65612,1986,Castaway,84007,Castaway,1986
59037,2008,Speed Racer,84009,Speed Racer,2008
2183,1956,The Man Who Knew Too Much,84028,The Man Who Knew Too Much,1956
160606,1959,Hannibal,84036,Hannibal,1959
49647,2006,Charlotte's Web,84097,Charlotte's Web,2006
8634,1984,Tank,84100,Tank,1984
5292,1977,Slap Shot,84153,Slap Shot,1977
4115,1987,Hiding Out,84201,Hiding Out,1987
248,1994,Houseguest,84269,Houseguest,1995
61024,2008,Pineapple Express,84273,Pineapple Express,2008
138104,2015,Justice League: Gods and Monsters,84310,Justice League: Gods and Monsters,2015
4683,1989,The Wizard,84332,The Wizard,1989
81417,2010,Paranormal Activity 2,84363,Paranormal Activity 2,2010
168286,2017,Before I Fall,84387,Before I Fall,2017
133638,1944,Tunisian Victory,84411,Tunisian Victory,-1
51077,2007,Ghost Rider,84422,Ghost Rider,2007
465,1993,Heaven and Earth,84434,Heaven and Earth,1993
3915,2000,Girlfight,84456,Girlfight,2000
1264,1981,Diva,84473,Diva,1981
48123,1940,The Long Voyage Home,84517,The Long Voyage Home,1940
107684,2012,Smiley,84524,Smiley,2012
5564,2002,Swimfan,84561,Swimfan,2002
165589,1980,Alien 2: On Earth,84597,Alien 2: On Earth,1980
104303,2013,Jobs,84710,Jobs,2013
176105,2017,Flatliners,84766,Flatliners,2017
78774,2009,Solitary Man,84772,Solitary Man,2009
26157,1966,Manos: The Hands of Fate,84788,Manos: The Hands of Fate,1966
597,1990,Pretty Woman,84798,Pretty Woman,1990
30659,2004,Noel,84823,Noel,2004
5957,2002,Two Weeks Notice,84828,Two Weeks Notice,-1
903,1958,Vertigo,84837,Vertigo,1958
3744,2000,Shaft,84853,Shaft,2000
168366,2017,Beauty and the Beast,84854,Beauty and the Beast,2017
105037,2013,The To Do List,84875,The To Do List,2013
56251,2007,Futurama: Bender's Big Score,84903,Futurama: Bender's Big Score,-1
3549,1955,Guys and Dolls,84907,Guys and Dolls,1955
93520,1941,Adventures of Captain Marvel,84974,Adventures of Captain Marvel,1941
2236,1998,Simon Birch,85003,Simon Birch,1998
2571,1999,The Matrix,85036,The Matrix,1999
181671,2017,The Breadwinner,85059,The Breadwinner,2017
3440,1993,Teenage Mutant Ninja Turtles III,85079,Teenage Mutant Ninja Turtles III,1993
2827,1999,The Astronaut's Wife,85082,The Astronaut's Wife,1999
2289,1992,The Player,85120,The Player,1992
3979,2000,Little Nicky,85159,Little Nicky,2000
109280,2012,The Summit,85183,The Summit,2012
168792,2016,The Great Gilly Hopkins,85195,The Great Gilly Hopkins,2015
8062,2002,Dahmer,85198,Dahmer,2002
87558,1933,When Ladies Meet,85204,When Ladies Meet,1933
69542,1991,K2,85298,K2,1991
2431,1998,Patch Adams,85301,Patch Adams,1998
217,1995,The Babysitter,85303,The Babysitter,1995
4090,1987,The Brave Little Toaster,85417,The Brave Little Toaster,1987
99117,2012,This Is 40,85423,This Is 40,2012
4935,1980,The Falls,85430,The Falls,1980
126546,2012,7 Days in Havana,85442,7 Days in Havana,2012
7316,2004,Confessions of a Teenage Drama Queen,85566,Confessions of a Teenage Drama Queen,2004
2188,1998,54,85575,54,1998
55765,2007,American Gangster,85637,American Gangster,2007
115170,2014,The Judge,85645,The Judge,2014
134029,1997,Into Thin Air: Death on Everest,85648,Into Thin Air: Death on Everest,1997
170827,2017,The Mummy,85662,The Mummy,2017
74275,2009,I Love You Phillip Morris,85665,I Love You Phillip Morris,2009
3355,1999,The Ninth Gate,85668,The Ninth Gate,1999
4255,2001,Freddy Got Fingered,85739,Freddy Got Fingered,2001
81537,2010,Due Date,85750,Due Date,-1
5606,1989,Society,85753,Society,1989
5249,1980,Spetters,85755,Spetters,1980
7923,1977,Rolling Thunder,85811,Rolling Thunder,1977
4270,2001,The Mummy Returns,85832,The Mummy Returns,2001
2562,1997,Bandits,85851,Bandits,1997
2548,1999,The Rage: Carrie 2,85863,The Rage: Carrie 2,1999
2720,1999,Inspector Gadget,85868,Inspector Gadget,1999
5816,2002,Harry Potter and the Chamber of Secrets,85875,Harry Potter and the Chamber of Secrets,2002
434,1993,Cliffhanger,85879,Cliffhanger,1993
2751,1987,From the Hip,85925,From the Hip,1987
5481,2002,Austin Powers in Goldmember,85951,Austin Powers in Goldmember,2002
117466,2015,In the Heart of the Sea,85961,In the Heart of the Sea,2015
3107,1991,Backdraft,85963,Backdraft,1991
5055,1993,Dragon: The Bruce Lee Story,85971,Dragon: The Bruce Lee Story,1993
115667,2014,"Love, Rosie",86002,"Love, Rosie",2014
1925,1927,Wings,86045,Wings,1927
509,1993,The Piano,86104,The Piano,1993
4232,2001,Spy Kids,86152,Spy Kids,2001
1780,1997,Ayn Rand: A Sense of Life,86164,Ayn Rand: A Sense of Life,1996
88,1996,Black Sheep,86168,Black Sheep,1996
6765,2003,Under the Tuscan Sun,86191,Under the Tuscan Sun,2003
70286,2009,District 9,86245,District 9,2009
2828,1999,Dudley Do-Right,86268,Dudley Do-Right,1999
70336,2009,G.I. Joe: The Rise of Cobra,86272,G.I. Joe: The Rise of Cobra,2009
151645,2016,JeruZalem,86345,JeruZalem,2015
49234,2004,Red Dust,86357,Red Dust,2004
153,1995,Batman Forever,86397,Batman Forever,1995
2122,1984,Children of the Corn,86414,Children of the Corn,1984
48516,2006,The Departed,86428,The Departed,2006
1130,1980,The Howling,86438,The Howling,1981
179119,2017,The Death of Stalin,86439,The Death of Stalin,-1
185,1995,The Net,86449,The Net,1995
79057,2010,Predators,86490,Predators,2010
362,1994,The Jungle Book,86506,The Jungle Book,1994
5589,1993,Indian Summer,86536,Indian Summer,1993
7386,1956,The Ten Commandments,86569,The Ten Commandments,1956
43560,2005,Nanny McPhee,86573,Nanny McPhee,2005
1963,1969,Take the Money and Run,86576,Take the Money and Run,1969
4280,1982,The World According to Garp,86619,The World According to Garp,1982
70305,2009,Race to Witch Mountain,86652,Race to Witch Mountain,2009
102033,2013,Pain and Gain,86699,Pain and Gain,2013
174541,2002,Tarzan and Jane,86733,Tarzan and Jane,2002
44155,2004,Five Children and It,86772,Five Children and It,2004
5941,2002,Drumline,86815,Drumline,2002
619,1996,Ed,86827,Ed,1996
170627,2017,Smurfs: The Lost Village,86837,Smurfs: The Lost Village,2017
53519,2007,Death Proof,86841,Death Proof,2007
6630,1958,The Inn of the Sixth Happiness,86934,The Inn of the Sixth Happiness,1958
149574,1979,Rudolph and Frosty's Christmas in July,86986,Rudolph and Frosty's Christmas in July,-1
168352,2016,Incarnate,86987,Incarnate,2016
73929,2010,Legion,86995,Legion,2010
1586,1997,G.I. Jane,87033,G.I. Jane,1997
2661,1953,It Came from Outer Space,87048,It Came from Outer Space,1953
137389,2005,Tom and Jerry: The Fast and the Furry,87060,Tom and Jerry: The Fast and the Furry,-1
8220,1936,The Walking Dead,87084,The Walking Dead,1936
63062,2008,Changeling,87090,Changeling,2008
2366,1933,King Kong,87092,King Kong,1933
6484,2003,Hollywood Homicide,87094,Hollywood Homicide,2003
162660,2016,God's Not Dead 2,87114,God's Not Dead 2,2016
48,1995,Pocahontas,87115,Pocahontas,1995
91974,2012,Underworld: Awakening,87156,Underworld: Awakening,2012
91323,2011,The Sitter,87193,The Sitter,2011
97225,2012,Hotel Transylvania,87223,Hotel Transylvania,2012
91199,2011,Weekend,87231,Weekend,2011
3693,1985,The Toxic Avenger,87249,The Toxic Avenger,1984
2047,1967,The Gnome-Mobile,87270,The Gnome-Mobile,1967
5444,2002,Lilo and Stitch,87294,Lilo and Stitch,-1
7348,2004,Spartan,87385,Spartan,2004
3160,1999,Magnolia,87411,Magnolia,1999
92681,2012,Journey 2: The Mysterious Island,87413,Journey 2: The Mysterious Island,2012
109569,2014,3 Days to Kill,87451,3 Days to Kill,2014
1960,1987,The Last Emperor,87488,The Last Emperor,1987
2048,1986,The Great Mouse Detective,87521,The Great Mouse Detective,-1
168714,2017,Wilson,87532,Wilson,2017
7944,1964,The Night of the Iguana,87541,The Night of the Iguana,1964
88595,1926,The Temptress,87608,The Temptress,1926
6889,2003,Brother Bear,87655,Brother Bear,-1
70599,2009,The Time Traveler's Wife,87664,The Time Traveler's Wife,2009
1801,1998,The Man in the Iron Mask,87672,The Man in the Iron Mask,1998
34437,2005,Broken Flowers,87674,Broken Flowers,2005
424,1994,Blue Chips,87689,Blue Chips,1994
